iter	Passed	Remaining
0	66	6619
1	72	3565
2	78	2538
3	83	2003
4	88	1677
5	93	1464
6	98	1308
7	104	1201
8	110	1114
9	115	1040
10	120	978
11	126	926
12	131	878
13	136	836
14	140	796
15	144	760
16	149	729
17	153	701
18	158	675
19	162	650
20	167	630
21	171	609
22	176	591
23	181	575
24	186	559
25	191	543
26	195	529
27	200	516
28	205	503
29	209	489
30	214	476
31	218	464
32	223	453
33	227	442
34	232	431
35	236	421
36	241	411
37	246	401
38	250	392
39	254	382
40	259	373
41	264	365
42	268	356
43	273	348
44	277	339
45	282	331
46	287	324
47	292	316
48	297	309
49	301	301
50	306	294
51	310	286
52	315	279
53	319	272
54	324	265
55	329	258
56	333	251
57	338	244
58	343	238
59	348	232
60	353	225
61	357	219
62	363	213
63	368	207
64	372	200
65	377	194
66	382	188
67	387	182
68	392	176
69	398	170
70	403	164
71	408	159
72	414	153
73	420	147
74	425	141
75	430	135
76	435	130
77	440	124
78	445	118
79	449	112
80	455	106
81	459	100
82	463	95
83	468	89
84	473	83
85	477	77
86	482	72
87	486	66
88	491	60
89	496	55
90	501	49
91	507	44
92	512	38
93	517	33
94	521	27
95	526	21
96	531	16
97	536	10
98	541	5
99	546	0
